model,factorial_cell,sample_standard_deviation_test_mae
EvolveGCN-H,h32_k4,0.009947984395954906
EvolveGCN-H,h32_k6,0.009483699546122482
EvolveGCN-H,h32_k8,0.009491620713372386
EvolveGCN-H,h32_k12,0.009015620284178271
EvolveGCN-H,h64_k4,0.011783112047831881
EvolveGCN-H,h64_k6,0.009885806393812296
EvolveGCN-H,h64_k8,0.009953557220221036
EvolveGCN-H,h64_k12,0.011608940869149108
Static GCN,h32_k4,0.008772398272727955
Static GCN,h32_k6,0.008226835196896327
Static GCN,h32_k8,0.008339954175818166
Static GCN,h32_k12,0.008785547260635173
Static GCN,h64_k4,0.010579745476428072
Static GCN,h64_k6,0.009289287541394981
Static GCN,h64_k8,0.009143633177109978
Static GCN,h64_k12,0.0103854966901317
