model,experiment_name,experiment_path,dataset_path,dataset_metadata_path,universe_count,universe_population,input_mode,snapshot_count,snapshot_identities,top_n,node_features,normalization,normalization_scope,target_normalization,periodic,k,box_size,hidden_dim,num_layers,convolution_type,self_loops,graph_pooling,temporal_pooling,temporal_module,head_type,head_architecture,head_input_dimension,head_hidden_dimensions,head_layers,head_activation,head_dropout,head_bias,output_activation,head_parameter_count,head_initialization,summary_features,hybrid,loss_function,batch_size,epochs,patience,learning_rate,weight_decay,dropout,activation,gradient_clipping,seed,split_ratios,train_count,val_count,test_count_declared,train_ids_hash,val_ids_hash,test_ids_hash,ordered_split_signature,split_valid,config_present,metrics_present,training_log_present,predictions_present,checkpoint_present,artifact_complete,prediction_ids_match_declared_test_order,test_mae,test_rmse,test_mse,test_r2,test_pearson,pearson_status,target_mean,prediction_mean,target_std,prediction_std,prediction_std_ratio,unique_prediction_count,exact_repeated_prediction_fraction,approximate_repeated_prediction_fraction,prediction_min,prediction_max,prediction_range,residual_mean,residual_std,maximum_absolute_residual,test_count,train_mae_saved,validation_mae_saved,train_mse_saved,validation_mse_saved,best_epoch,epochs_logged,saved_primary_metrics_match_1e-6,maximum_saved_metric_absolute_delta,prediction_file_hash,candidate_family,compatibility_class,reusable_status,duplicate_status,exclusion_reason
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed123_minmax,experiments/evolvegcn_h_500u_top500_h32_seed123_minmax,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(32,32)-ReLU-Dropout(0.2)-Linear(32,1)",32,32,2,relu,0.2,True,identity,1089,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,123,0.7|0.15|0.15,350,75,75,d81289823cc3dffb04e598c2c4bafdc25a417f4ebb2ccd12a59e0bedd928db69,aa4504dafc03283b3300d9169ed883e83312e6bb3ba2276f0d08d50bfb569f59,73bcf976d95e8724ed12a8e8593838b272bb85e4d88f804080b7dbde03478803,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,True,True,True,True,True,True,True,True,0.08808545728524526,0.10559135315164822,0.01114953386039609,0.1387689887847452,0.4095851905696991,defined,0.29364533245563507,0.3024238540728887,0.11454688870034196,0.06430312075632508,0.5613694224776714,75,0.0,0.0,0.07793377339839935,0.37698593735694885,0.2990521639585495,0.00877852161725362,0.10593441089067755,0.23926354944705963,75.0,0.07490975856781006,0.08220783481995264,0.008104642615717635,0.010124994070963244,169,209,True,1.3877787807814457e-17,28396a20c7e9a79b68f82cd70ba3f35fd13f04a8af06f389bb0012c5c91361eb,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed2025_minmax,experiments/evolvegcn_h_500u_top500_h32_seed2025_minmax,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(32,32)-ReLU-Dropout(0.2)-Linear(32,1)",32,32,2,relu,0.2,True,identity,1089,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,2025,0.7|0.15|0.15,350,75,75,bfcce67d2d5770d9798a93a32e511bb9238b55f299556a3acf22839f1565ba0d,5c5e198658b93be53d5c6b106d3d1e25af2a81295b7e8bc06c4b624ccb700737,4f6630b8160ed530ac170187606eeaa72a7ba7ab3b4411fd0eaebd964847c936,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,True,True,True,True,True,True,True,True,0.08912350823481878,0.10410246269590653,0.010837322739352612,0.23653242875345837,0.4919030323529539,defined,0.29471200038989387,0.2984777808189392,0.11994453853216079,0.06699080606218442,0.5585148509635739,75,0.0,0.0,0.07322895526885986,0.37570858001708984,0.30247962474823,0.0037657804290453594,0.10473490491657797,0.20589011907577515,75.0,0.07650347290294511,0.07378196746110915,0.008502481961981433,0.007752593004052232,101,141,True,1.3877787807814457e-17,44004adbfb11454e2071f9050699630e3f023522ac6c87884c8d6fad3ef3056c,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42,experiments/evolvegcn_h_500u_top500_h32_seed42,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(32,32)-ReLU-Dropout(0.2)-Linear(32,1)",32,32,2,relu,0.2,True,identity,1089,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08128928263982137,0.09884928802565535,0.009771181743178968,0.048602084900082,0.35483171472636943,defined,0.2916933327913284,0.31985964477062223,0.10202514478236673,0.03697624404510675,0.3624228529543577,75,0.0,0.0,0.1329299658536911,0.38990792632102966,0.25697796046733856,0.028166311979293823,0.09538953183188113,0.2251739203929901,75.0,0.08304028506789889,0.07447421203056971,0.009700627332940566,0.008066519264882072,69,109,True,0.0,c8f9f807271dd0167657415c047499dcd2d13d1c37bfeb20a70f042444dd5fb3,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_hybrid_summary,experiments/evolvegcn_h_500u_top500_h32_seed42_hybrid_summary,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(132,32)-ReLU-Dropout(0.2)-Linear(32,1)",132,32,2,relu,0.2,True,identity,4289,PyTorch Linear default,True,True,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08658973077932994,0.10189894313235745,0.010383394611491419,-0.011007700468653514,nan,undefined_zero_prediction_variance,0.2916933327913284,0.302325963973999,0.10202514478236673,0.0,0.0,1,0.9866666666666667,0.9866666666666667,0.302325963973999,0.302325963973999,0.0,0.010632631182670594,0.10202514478236673,0.19532596319913864,75.0,0.1008881705573627,0.09383496274550755,0.01362471949494719,0.012591414957071122,15,55,True,0.0,823b34a12f4c6bcdccb1610eb645e3d030b766fa6e50d51c2adbdd6f230b24c0,u500_single_seed_head_pilots,hybrid_incompatible,hybrid_incompatible,unique,summary features change the head input representation
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_hybrid_summary_norm,experiments/evolvegcn_h_500u_top500_h32_seed42_hybrid_summary_norm,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(132,32)-ReLU-Dropout(0.2)-Linear(32,1)",132,32,2,relu,0.2,True,identity,4289,PyTorch Linear default,True,True,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08648423254489898,0.10368745961394142,0.010751089281192732,-0.046809300658045894,0.36415882511760406,defined,0.2916933327913284,0.3272258500258128,0.10202514478236673,0.06140195742702885,0.6018316127657298,75,0.0,0.0,0.19536656141281128,0.46639901399612427,0.271032452583313,0.035532517234484355,0.09806504408706385,0.2097642868757248,75.0,0.043926137302603044,0.07574794461329779,0.0031176168761372592,0.008864602728653909,16,56,True,0.0,60eab6d5faf5bfe753f66bb755ced69ab0d3404744096f66e920b03009c2ea7d,u500_single_seed_head_pilots,hybrid_incompatible,hybrid_incompatible,unique,summary features change the head input representation
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_leakyrelu,experiments/evolvegcn_h_500u_top500_h32_seed42_leakyrelu,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(32,32)-ReLU-Dropout(0.2)-Linear(32,1)",32,32,2,relu,0.2,True,identity,1089,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,leaky_relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08075622697671254,0.09979449979854646,0.009958942190042088,0.030320273919695495,0.3104055859098975,defined,0.2916933327913284,0.31763041138648984,0.10202514478236673,0.03401564829964611,0.3334045579862301,75,0.0,0.0,0.14776454865932465,0.36891597509384155,0.2211514264345169,0.025937078595161436,0.09701391379725204,0.209713876247406,75.0,0.08416209263460976,0.07528024087349573,0.009943947074182856,0.00832084416387668,69,109,True,0.0,ac89b00053ed76037990ed583aaacbf8c04ac855073ba981f3e5ff08fea876d2,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_linear_head,experiments/evolvegcn_h_500u_top500_h32_seed42_linear_head,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,linear,"Linear(32,1,bias=True); identity output",32,,1,none,0.0,True,identity,33,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,leaky_relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08461625049511591,0.10046117771949634,0.010092448228788227,0.0173210922183632,0.28276247816477607,defined,0.2916933327913284,0.3045500674843788,0.10202514478236673,0.050858680185132475,0.4984916247227175,75,0.0,0.0,0.10827859491109848,0.4225431978702545,0.31426460295915604,0.012856734693050384,0.10030604823566801,0.2146400809288025,75.0,0.07943381773574011,0.07289294769366582,0.00908231973873209,0.00767462727483992,102,142,True,0.0,0202ae0dea5c1be9b76a187ab4a0d44936f8b8265a1c0ef459b0d77e03b148d9,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,only one linear seed exists and activation context differs from the canonical MLP family
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_linear_head_targetnorm,experiments/evolvegcn_h_500u_top500_h32_seed42_linear_head_targetnorm,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,True,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,linear,"Linear(32,1,bias=True); identity output",32,,1,none,0.0,True,identity,33,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,leaky_relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08708491245905559,0.10453583276028873,0.010927740330887054,-0.06400941470737398,0.19691789586559486,defined,0.2916933327913284,0.3129282166560491,0.10202514478236673,0.04484738997979218,0.4395719317571924,75,0.0,0.0,0.13584160804748535,0.38387784361839294,0.2480362355709076,0.021234883864720663,0.10304561459520206,0.2324519157409668,75.0,0.07889690386397498,0.08093140890200932,0.008947919177306848,0.009267051893576038,98,138,True,1.734723475976807e-18,c4e0ef47567fa3c1fd033d9892206ff62c4230d1eacb980c32542a553aa321df,u500_single_seed_head_pilots,target_normalization_incompatible,target_normalization_incompatible,unique,target normalization changes output interpretation
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_meanmax,experiments/evolvegcn_h_500u_top500_h32_seed42_meanmax,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean_max,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(64,32)-ReLU-Dropout(0.2)-Linear(32,1)",64,32,2,relu,0.2,True,identity,2113,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,42,0.7|0.15|0.15,350,75,75,9f4c7237e094249f24613827f57850704abe7bd10c1cc1c849247cb49f14406e,0bf2228b54c463f6efd447d235b4a597656fadb9455474b6e70fe506e556762b,37e84726a7ca97b11f6207faf217b0876f55cc27e98bc2a96cce132dc47b3a0d,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,True,True,True,True,True,True,True,True,0.08437216738859812,0.1016987221852858,0.010342630094119945,-0.0070385514080142375,0.1682108954578509,defined,0.2916933327913284,0.30991713325182596,0.10202514478236673,0.02274705351775668,0.22295536621172346,75,0.0,0.0,0.1750379204750061,0.34238091111183167,0.16734299063682556,0.018223800460497538,0.10072636462869802,0.20261497795581818,75.0,0.08921763407332557,0.08315107196569443,0.01076949638740268,0.009739166737458733,31,71,True,0.0,b7933c0a31e128e51752b75b25f39a44a610e1690ede8d430197867f6d33f4c6,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed777_minmax,experiments/evolvegcn_h_500u_top500_h32_seed777_minmax,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.pt,data/processed/temporal_500u_minmax_top500_periodic_knn/camels_500u_temporal_logmass_minmax_top500_periodic_knn.metadata.json,500,LH_0..LH_499,temporal,5,five evenly selected snapshots; exact identities not persisted in sidecar,500,log10_Mvir|X|Y|Z|VX|VY|VZ,minmax,per_universe_per_snapshot_per_feature,False,True,8,25.0,32,2,evolvegcn_h,True,mean,mean,dimension_preserving_temporal_mean_or_last,mlp,"Linear(32,32)-ReLU-Dropout(0.2)-Linear(32,1)",32,32,2,relu,0.2,True,identity,1089,PyTorch Linear default,False,False,MSE,4,300,40,0.001,1e-05,0.2,relu,1.0,777,0.7|0.15|0.15,350,75,75,9e028b710634e9b1b293df00ea4b5e5c05bc57d8af2762a64dba7003e20de8fd,3eb53701de1f43c2177dae5afe6ade237b9c46e03fedd31dd0db121fdd413fb0,9b862661f99b6481815d497930a32680fe1b0973b7cbe1eff166f7d22bc870cf,bbfd7e59dfb0844e098e7db7ebe00b0b72161f6eb06472771745fd737839990a,True,True,True,True,True,True,True,True,0.07923854937156041,0.09265419048213876,0.008584799013900453,0.31951832707153127,0.5725767475089336,defined,0.30334133197863894,0.2944981966416041,0.1130763083066769,0.059529692770996206,0.5264559275276686,75,0.0,0.0,0.09633827209472656,0.3729553818702698,0.2766171097755432,-0.008843135337034862,0.09285231283037962,0.20850688964128494,75.0,0.07757971156920705,0.0904996739824613,0.008651452476229476,0.011636200127015744,97,137,True,0.0,d89fc92c267f49764110f005714fd02725678db0e9878c680b5a2b5f3078e3fb,u500_single_seed_head_pilots,compatible_anchor_only,compatible_anchor_only,unique,anchor or alternative protocol without a multi-seed matched head comparison
